Signal Legend:

Key        Signal Name

0        = rom:inst2|q
1        = fft:inst1|source_real
2        = fft:inst1|source_imag
3        = data_modulus:inst9|data_modulus
4        = fir:inst|ast_source_data

Data Table:

Signals-> 0     1    2    3   4        

sample

452       -2048 0    0    0   -3893248 
453       -2048 0    0    0   -3893248 
454       -2048 -20  -14  0   -3893248 
455       -2048 0    0    0   -3893248 
456       -2048 0    0    0   -3893248 
457       -2048 0    0    24  -3893248 
458       -2048 0    0    0   -3893248 
459       -2048 0    0    0   -3893248 
460       -2048 0    0    0   -3893248 
461       -2048 0    0    0   -3893248 
462       -2048 17   -16  0   -3893248 
463       -2048 0    0    0   -3893248 
464       -2048 0    0    0   -3893248 
465       -2048 0    0    23  -3893248 
466       -2048 0    0    0   -3893248 
467       -2048 0    0    0   -3893248 
468       -2048 0    0    0   -3893248 
469       -2048 0    0    0   -3893248 
470       -2048 10   19   0   -3893248 
471       -2048 0    0    0   -3893248 
472       -2048 0    0    0   -3893248 
473       -2048 0    0    21  -3893248 
474       -2048 0    0    0   -3893248 
475       -2048 0    0    0   -3893248 
476       -2048 0    0    0   -3893248 
477       -2048 0    0    0   -3893248 
478       -2048 -19  6    0   -3893248 
479       -2048 0    0    0   -3893248 
480       -2048 0    0    0   -3893248 
481       -2048 0    0    19  -3893248 
482       -2048 0    0    0   -3893248 
483       -2048 0    0    0   -3893248 
484       -2048 0    0    0   -3893248 
485       -2048 0    0    0   -3893248 
486       -2048 -2   -19  0   -3893248 
487       -2048 0    0    0   -3893248 
488       -2048 0    0    0   -3893248 
489       -2048 0    0    19  -3893248 
490       -2048 0    0    0   -3893248 
491       -2048 0    0    0   -3893248 
492       -2048 0    0    0   -3893248 
493       -2048 0    0    0   -3893248 
494       -2048 18   3    0   -3893248 
495       -2048 0    0    0   -3893248 
496       -2048 0    0    0   -3893248 
497       -2048 0    0    18  -3893248 
498       -2048 0    0    0   -3893248 
499       -2048 0    0    0   -3893248 
500       2047  0    0    0   -3893248 
501       2047  0    0    0   -3893248 
502       2047  -7   16   0   -3893248 
503       2047  0    0    0   -3893248 
504       2047  0    0    0   -3893248 
505       2047  0    0    17  -3893248 
506       2047  0    0    0   -3893248 
507       2047  0    0    0   -3893248 
508       2047  0    0    0   -3893248 
509       2047  0    0    0   -3893248 
510       2047  -14  -9   0   -3893248 
511       2047  0    0    0   -3893248 
512       2047  0    0    0   -3893248 
513       2047  0    0    16  -3893248 
514       2047  0    0    0   -3893248 
515       2047  0    0    0   -3893248 
516       2047  0    0    0   -3893248 
517       2047  0    0    0   -3893248 
518       2047  12   -11  0   -3893248 
519       2047  0    0    0   -3893248 
520       2047  0    0    0   -3889153 
521       2047  0    0    16  -3876868 
522       2047  0    0    0   -3852298 
523       2047  0    0    0   -3811348 
524       2047  0    0    0   -3745828 
525       2047  0    0    0   -3651643 
526       2047  8    13   0   -3520603 
527       2047  0    0    0   -3344518 
528       2047  0    0    0   -3123388 
529       2047  0    0    15  -2849023 
530       2047  0    0    0   -2525518 
531       2047  0    0    0   -2148778 
532       2047  0    0    0   -1726993 
533       2047  0    0    0   -1264258 
534       2047  -14  5    0   -772858  
535       2047  0    0    0   -260983  
536       2047  0    0    0   259082   
537       2047  0    0    14  770957   
538       2047  0    0    0   1262357  
539       2047  0    0    0   1725092  
540       2047  0    0    0   2146877  
541       2047  0    0    0   2523617  
542       2047  -1   -15  0   2847122  
543       2047  0    0    0   3121487  
544       2047  0    0    0   3342617  
545       2047  0    0    15  3518702  
546       2047  0    0    0   3649742  
547       2047  0    0    0   3743927  
548       2047  0    0    0   3809447  
549       2047  0    0    0   3850397  
550       2047  14   2    0   3874967  
551       2047  0    0    0   3887252  
552       2047  0    0    0   3891347  
553       2047  0    0    14  3891347  
554       2047  0    0    0   3891347  
555       2047  0    0    0   3891347  
556       2047  0    0    0   3891347  
557       2047  0    0    0   3891347  
558       2047  -4   13   0   3891347  
559       2047  0    0    0   3891347  
560       2047  0    0    0   3891347  
561       2047  0    0    13  3891347  
562       2047  0    0    0   3891347  
563       2047  0    0    0   3891347  
564       2047  0    0    0   3891347  
565       2047  0    0    0   3891347  
566       2047  -11  -7   0   3891347  
567       2047  0    0    0   3891347  
568       2047  0    0    0   3891347  
569       2047  0    0    13  3891347  
570       2047  0    0    0   3891347  
571       2047  0    0    0   3891347  
572       2047  0    0    0   3891347  
573       2047  0    0    0   3891347  
574       2047  9    -9   0   3891347  
575       2047  0    0    0   3891347  
576       2047  0    0    0   3891347  
577       2047  0    0    12  3891347  
578       2047  0    0    0   3891347  
579       2047  0    0    0   3891347  
580       2047  0    0    0   3891347  
581       2047  0    0    0   3891347  
582       2047  7    10   0   3891347  
583       2047  0    0    0   3891347  
584       2047  0    0    0   3891347  
585       2047  0    0    12  3891347  
586       2047  0    0    0   3891347  
587       2047  0    0    0   3891347  
588       2047  0    0    0   3891347  
589       2047  0    0    0   3891347  
590       2047  -11  4    0   3891347  
591       2047  0    0    0   3891347  
592       2047  0    0    0   3891347  
593       2047  0    0    11  3891347  
594       2047  0    0    0   3891347  
595       2047  0    0    0   3891347  
596       2047  0    0    0   3891347  
597       2047  0    0    0   3891347  
598       2047  -2   -12  0   3891347  
599       2047  0    0    0   3891347  
600       2047  0    0    0   3891347  
601       2047  0    0    12  3891347  
602       2047  0    0    0   3891347  
603       2047  0    0    0   3891347  
604       2047  0    0    0   3891347  
605       2047  0    0    0   3891347  
606       2047  12   1    0   3891347  
607       2047  0    0    0   3891347  
608       2047  0    0    0   3891347  
609       2047  0    0    12  3891347  
610       2047  0    0    0   3891347  
611       2047  0    0    0   3891347  
612       2047  0    0    0   3891347  
613       2047  0    0    0   3891347  
614       2047  -4   10   0   3891347  
615       2047  0    0    0   3891347  
616       2047  0    0    0   3891347  
617       2047  0    0    10  3891347  
618       2047  0    0    0   3891347  
619       2047  0    0    0   3891347  
620       2047  0    0    0   3891347  
621       2047  0    0    0   3891347  
622       2047  -9   -6   0   3891347  
623       2047  0    0    0   3891347  
624       2047  0    0    0   3891347  
625       2047  0    0    10  3891347  
626       2047  0    0    0   3891347  
627       2047  0    0    0   3891347  
628       -2048 0    0    0   3891347  
629       -2048 0    0    0   3891347  
630       -2048 8    -7   0   3891347  
631       -2048 0    0    0   3891347  
632       -2048 0    0    0   3891347  
633       -2048 0    0    10  3891347  
634       -2048 0    0    0   3891347  
635       -2048 0    0    0   3891347  
636       -2048 0    0    0   3891347  
637       -2048 0    0    0   3891347  
638       -2048 6    9    0   3891347  
639       -2048 0    0    0   3891347  
640       -2048 0    0    0   3891347  
641       -2048 0    0    10  3891347  
642       -2048 0    0    0   3891347  
643       -2048 0    0    0   3891347  
644       -2048 0    0    0   3891347  
645       -2048 0    0    0   3891347  
646       -2048 -9   4    0   3891347  
647       -2048 0    0    0   3891347  
